x,original_sum,display_sum,x_shape,y_shape,removed_residual
0,0.0497729016963312,0.0497729016963312,1.1050392669943316,0.0497729016963312,0
0.001388888888888889,0.06524450672569232,0.06524450672569232,1.1046584978111844,0.06524450672569232,0
0.002777777777777778,0.08070370124834772,0.08070370124834772,1.1039511874960726,0.08070370124834772,0
0.004166666666666667,0.09614050530509843,0.09614050530509843,1.1029185882650407,0.09614050530509843,0
0.005555555555555556,0.11154502839567748,0.11154502839567748,1.1015623247914208,0.11154502839567748,0
0.006944444444444444,0.1269074845799678,0.1269074845799678,1.0998843890344154,0.1269074845799678,0
0.008333333333333333,0.14221820731103085,0.14221820731103085,1.097887134434817,0.14221820731103085,0
0.009722222222222222,0.1574676639730543,0.1574676639730543,1.0955732694909774,0.1574676639730543,0
0.011111111111111112,0.17264647009794448,0.17264647009794448,1.0929458507292875,0.17264647009794448,0
0.0125,0.187745403234959,0.187745403234959,1.090008275084555,0.187745403234959,0
0.013888888888888888,0.20275541644849476,0.20275541644849476,1.0867642717067516,0.20275541644849476,0
0.015277777777777777,0.21766765141990713,0.21766765141990713,1.083217893211667,0.21766765141990713,0
0.016666666666666666,0.23247345113004764,0.23247345113004764,1.0793735063940166,0.23247345113004764,0
0.018055555555555554,0.24716437210005943,0.24716437210005943,1.0752357824225514,0.24716437210005943,0
0.019444444444444445,0.26173219616886384,0.26173219616886384,1.0708096865376477,0.26173219616886384,0
0.020833333333333332,0.27616894178670537,0.27616894178670537,1.0661004672727823,0.27616894178670537,0
0.022222222222222223,0.290466874805098,0.290466874805098,1.0611136452221364,0.290466874805098,0
0.02361111111111111,0.30461851874451984,0.30461851874451984,1.0558550013774184,0.30461851874451984,0
0.025,0.3186166645222533,0.3186166645222533,1.0503305650577535,0.3186166645222533,0
0.02638888888888889,0.3324543796238361,0.3324543796238361,1.0445466014572204,0.3324543796238361,0
0.027777777777777776,0.3461250167027041,0.3461250167027041,1.0385095988353001,0.3461250167027041,0
0.029166666666666667,0.3596222215937317,0.3596222215937317,1.032226255376127,0.3596222215937317,0
0.030555555555555555,0.3729399407275428,0.3729399407275428,1.0257034657430173,0.3729399407275428,0
0.03194444444444444,0.3860724279336489,0.3860724279336489,1.0189483073552696,0.3860724279336489,0
0.03333333333333333,0.3990142506216709,0.3990142506216709,1.0119680264147277,0.3990142506216709,0
0.034722222222222224,0.4117602953311343,0.4117602953311343,1.0047700237099872,0.4117602953311343,0
0.03611111111111111,0.42430577264156233,0.42430577264156233,0.9973618402265314,0.42430577264156233,0
0.0375,0.4366462214358494,0.4366462214358494,0.9897511425913627,0.4366462214358494,0
0.03888888888888889,0.4487775125111685,0.4487775125111685,0.981945708380981,0.4487775125111685,0
0.04027777777777778,0.460695851532936,0.460695851532936,0.9739534113217364,0.460695851532936,0
0.041666666666666664,0.47239778132864935,0.47239778132864935,0.9657822064117546,0.47239778132864935,0
0.043055555555555555,0.4838801835196982,0.4838801835196982,0.9574401149936994,0.4838801835196982,0
0.044444444444444446,0.4951402794905393,0.4951402794905393,0.948935209807687,0.4951402794905393,0
0.04583333333333333,0.5061756306959191,0.5061756306959191,0.9402756000536302,0.5061756306959191,0
0.04722222222222222,0.5169841383081144,0.5169841383081144,0.9314694164922156,0.5169841383081144,0
0.04861111111111111,0.5275640422074419,0.5275640422074419,0.9225247966135792,0.5275640422074419,0
0.05,0.5379139193205664,0.5379139193205664,0.9134498699025485,0.5379139193205664,0
0.05138888888888889,0.5480326813123954,0.5480326813123954,0.9042527432290779,0.5480326813123954,0
0.05277777777777778,0.557919571638605,0.557919571638605,0.8949414863921847,0.557919571638605,0
0.05416666666666667,0.5675741619670762,0.5675741619670762,0.8855241178453583,0.5675741619670762,0
0.05555555555555555,0.5769963479777374,0.5769963479777374,0.876008590630974,0.5769963479777374,0
0.05694444444444444,0.586186344551514,0.586186344551514,0.866402778550801,0.586186344551514,0
0.058333333333333334,0.5951446803602528,0.5951446803602528,0.8567144625991628,0.5951446803602528,0
0.059722222222222225,0.6038721918706569,0.6038721918706569,0.8469513176847429,0.6038721918706569,0
0.06111111111111111,0.6123700167763737,0.6123700167763737,0.8371208996664121,0.6123700167763737,0
0.0625,0.6206395868734949,0.6206395868734949,0.8272306327277844,0.6206395868734949,0
0.06388888888888888,0.6286826203957792,0.6286826203957792,0.8172877971144926,0.6286826203957792,0
0.06527777777777778,0.6365011138269507,0.6365011138269507,0.8072995172574154,0.6365011138269507,0
0.06666666666666667,0.644097333208421,0.644097333208421,0.7972727503042858,0.644097333208421,0
0.06805555555555555,0.6514738049617453,0.6514738049617453,0.7872142750812547,0.6514738049617453,0
0.06944444444444445,0.6586333062460505,0.6586333062460505,0.7771306815051023,0.6586333062460505,0
0.07083333333333333,0.6655788548715469,0.6655788548715469,0.767028360465858,0.6655788548715469,0
0.07222222222222222,0.6723136987910866,0.6723136987910866,0.7569134941986184,0.6723136987910866,0
0.07361111111111111,0.6788413051925248,0.6788413051925248,0.7467920471623644,0.6788413051925248,0
0.075,0.6851653492153883,0.6851653492153883,0.7366697574425237,0.6851653492153883,0
0.0763888888888889,0.6912897023160686,0.6912897023160686,0.7265521286929746,0.6912897023160686,0
0.07777777777777778,0.6972184203064095,0.6972184203064095,0.7164444226320767,0.6972184203064095,0
0.07916666666666666,0.7029557310911705,0.7029557310911705,0.7063516521061994,0.7029557310911705,0
0.08055555555555556,0.7085060221304026,0.7085060221304026,0.6962785747330582,0.7085060221304026,0
0.08194444444444444,0.7138738276532818,0.7138738276532818,0.6862296871360073,0.7138738276532818,0
0.08333333333333333,0.7190638156504029,0.7190638156504029,0.6762092197792267,0.7190638156504029,0
